user_id,movie_id,rating,timestamp,movie_title,genres,avg_rating
259,255,4,874724710,My Best Friend's Wedding (1997),Romance,4
259,286,4,874724727,"English Patient, The (1996)","Romance, War",4
259,298,4,874724754,Face/Off (1997),"Action, Sci-Fi, Thriller",4
259,185,4,874724781,Psycho (1960),"Horror, Romance, Thriller",4
259,173,4,874724843,"Princess Bride, The (1987)","Action, Adventure, Romance",4
259,108,4,874724882,Kids in the Hall: Brain Candy (1996),unknown,4
259,772,4,874724882,Kids (1995),unknown,4
259,288,3,874724905,Scream (1996),"Horror, Thriller",3
259,928,4,874724937,"Craft, The (1996)",Horror,4
259,117,4,874724988,"Rock, The (1996)","Action, Adventure, Thriller",4
259,200,4,874725081,"Shining, The (1980)",Horror,4
259,405,3,874725120,Mission: Impossible (1996),"Action, Adventure, Mystery",3
259,1074,3,874725264,Reality Bites (1994),unknown,3
259,176,4,874725386,Aliens (1986),"Action, Sci-Fi, Thriller, War",4
259,357,5,874725485,One Flew Over the Cuckoo's Nest (1975),unknown,5
259,210,4,874725485,Indiana Jones and the Last Crusade (1989),"Action, Adventure",4
851,687,2,874728168,McHale's Navy (1997),War,2
851,696,3,874728338,City Hall (1996),Thriller,3
851,284,3,874728338,Tin Cup (1996),Romance,3
851,295,5,874728370,Breakdown (1997),"Action, Thriller",5
851,544,4,874728396,Things to Do in Denver when You're Dead (1995),Romance,4
851,473,4,874728396,James and the Giant Peach (1996),"Animation, Children, Musical",4
851,290,4,874728430,Fierce Creatures (1997),unknown,4
851,147,4,874728461,"Long Kiss Goodnight, The (1996)","Action, Thriller",4
851,121,4,874728565,Independence Day (ID4) (1996),"Action, Sci-Fi, War",4
851,717,3,874728598,"Juror, The (1996)",Thriller,3
712,1040,4,874729682,Two if by Sea (1996),Romance,4
712,220,5,874729682,"Mirror Has Two Faces, The (1996)",Romance,5
712,510,2,874729749,"Magnificent Seven, The (1954)","Action, Western",2
712,50,4,874729750,Star Wars (1977),"Action, Adventure, Romance, Sci-Fi, War",4
712,417,4,874729750,"Parent Trap, The (1961)",Children,4
712,731,5,874729750,"Corrina, Corrina (1994)",Romance,5
712,623,4,874729778,Angels in the Outfield (1994),Children,4
712,385,5,874729778,True Lies (1994),"Action, Adventure, Romance",5
712,97,5,874729816,Dances with Wolves (1990),"Adventure, Western",5
712,66,5,874729816,While You Were Sleeping (1995),Romance,5
712,553,5,874729850,"Walk in the Clouds, A (1995)",Romance,5
712,96,5,874729850,Terminator 2: Judgment Day (1991),"Action, Sci-Fi, Thriller",5
712,79,4,874729850,"Fugitive, The (1993)","Action, Thriller",4
712,969,4,874729850,Winnie the Pooh and the Blustery Day (1968),"Animation, Children",4
712,181,5,874729901,Return of the Jedi (1983),"Action, Adventure, Romance, Sci-Fi, War",5
712,173,5,874729901,"Princess Bride, The (1987)","Action, Adventure, Romance",5
712,172,5,874729901,"Empire Strikes Back, The (1980)","Action, Adventure, Romance, Sci-Fi, War",5
712,739,4,874729935,Pretty Woman (1990),Romance,4
712,402,4,874729935,Ghost (1990),"Romance, Thriller",4
712,498,3,874729935,"African Queen, The (1951)","Action, Adventure, Romance, War",3
712,42,1,874729935,Clerks (1994),unknown,1
712,421,4,874729935,William Shakespeare's Romeo and Juliet (1996),Romance,4
712,234,2,874729935,Jaws (1975),"Action, Horror",2
712,423,3,874729960,E.T. the Extra-Terrestrial (1982),"Children, Fantasy, Sci-Fi",3
712,174,5,874729995,Raiders of the Lost Ark (1981),"Action, Adventure",5
712,99,4,874729995,Snow White and the Seven Dwarfs (1937),"Animation, Children, Musical",4
712,692,5,874729995,"American President, The (1995)",Romance,5
712,1220,5,874729996,Higher Learning (1995),unknown,5
712,392,5,874729996,"Man Without a Face, The (1993)",unknown,5
712,812,4,874729996,Andre (1994),"Adventure, Children",4
712,61,3,874730031,Three Colors: White (1994),unknown,3
712,215,3,874730031,Field of Dreams (1989),unknown,3
712,82,5,874730031,Jurassic Park (1993),"Action, Adventure, Sci-Fi",5
712,202,4,874730031,Groundhog Day (1993),Romance,4
712,432,4,874730056,Fantasia (1940),"Animation, Children, Musical",4
712,746,4,874730085,Real Genius (1985),unknown,4
712,462,3,874730085,Like Water For Chocolate (Como agua para chocolate) (1992),Romance,3
712,69,3,874730085,Forrest Gump (1994),"Romance, War",3
712,195,3,874730085,"Terminator, The (1984)","Action, Sci-Fi, Thriller",3
712,1055,4,874730155,"Simple Twist of Fate, A (1994)",unknown,4
712,177,2,874730155,"Good, The Bad and The Ugly, The (1966)","Action, Western",2
